tD,WeD,PD_>100,PD_Lee,PD_Fanchi,PD_Edw.,PD-used,,,Min.,Max.,Diff.,Mean,SD
0,0,#NUM!,#NUM!,#NUM!,0,0,,tD,0,2E+12,2E+12,1.81E+10,1.35E+11
1020,298.543,3.868313953,3.866042948,3.831280747,3.859304427,3.868313953,,,,,,,
1025,299.799,3.870758946,3.868118023,3.832807626,3.861630002,3.870758946,,,,,,,
1030,301.053,3.873192041,3.870169803,3.834319489,3.863943529,3.873192041,,,,,,,
1040,303.56,3.878022996,3.874203296,3.837298722,3.868534901,3.878022996,,,,,,,
1050,306.065,3.882807722,3.878143051,3.840219533,3.873079456,3.882807722,,,,,,,
1060,308.567,3.887547094,3.881988663,3.84308298,3.877578082,3.887547094,,,,,,,
1070,311.066,3.892241964,3.8857397,3.845890091,3.882031643,3.892241964,,,,,,,
1075,312.314,3.89457297,3.887579612,3.847272834,3.884241786,3.89457297,,,,,,,
1080,313.562,3.89689316,3.889395706,3.848641867,3.886440977,3.89689316,,,,,,,
1090,316.055,3.901501488,3.892956196,3.851339282,3.890806901,3.901501488,,,,,,,
1100,318.545,3.906067729,3.896420663,3.853983285,3.89513021,3.906067729,,,,,,,
1110,321.032,3.910592647,3.899788577,3.856574798,3.899411675,3.910592647,,,,,,,
1120,323.517,3.915076982,3.903059385,3.859114722,3.90365205,3.915076982,,,,,,,
1125,324.76,3.917304157,3.904658195,3.860365612,3.905757058,3.917304157,,,,,,,
1130,326,3.919521456,3.906232511,3.861603931,3.907852066,3.919521456,,,,,,,
1140,328.48,3.923926771,3.90930736,3.864043279,3.912012437,3.923926771,,,,,,,
1150,330.958,3.928293611,3.912283315,3.866433599,3.916133856,3.928293611,,,,,,,
1160,333.433,3.932622642,3.91515974,3.868775701,3.920217001,3.932622642,,,,,,,
1170,335.906,3.936914514,3.917935979,3.871070376,3.92426253,3.936914514,,,,,,,
1175,337.142,3.939046713,3.91928632,3.87220017,3.92627139,3.939046713,,,,,,,
1180,338.376,3.941169859,3.920611361,3.873318394,3.928271086,3.941169859,,,,,,,
1190,340.843,3.945389293,3.923185194,3.875520509,3.932243295,3.945389293,,,,,,,
1200,343.308,3.949573418,3.925656769,3.877677454,3.936179768,3.949573418,,,,,,,
1210,345.77,3.953722819,3.928025363,3.879789945,3.9400811,3.953722819,,,,,,,
1220,348.23,3.957838069,3.930290235,3.881858682,3.943947873,3.957838069,,,,,,,
1225,349.46,3.959883061,3.931383539,3.882876857,3.945868477,3.959883061,,,,,,,
1230,350.688,3.961919724,3.932450628,3.883884347,3.947780653,3.961919724,,,,,,,
1240,353.144,3.965968329,3.934505772,3.885867606,3.951579994,3.965968329,,,,,,,
1250,355.597,3.969984415,3.936454881,3.88780911,3.955346435,3.969984415,,,,,,,
1260,358.048,3.9739685,3.938297156,3.889709496,3.959080503,3.9739685,,,,,,,
1270,360.496,3.97792109,3.940031782,3.891569383,3.962782714,3.97792109,,,,,,,
1275,361.72,3.979885729,3.940858469,3.89248433,3.96462203,3.979885729,,,,,,,
1280,362.942,3.981842678,3.941657934,3.89338938,3.966453569,3.981842678,,,,,,,
1290,365.386,3.985733749,3.943174772,3.895170079,3.970093559,3.985733749,,,,,,,
1300,367.828,3.989594772,3.944581445,3.896912061,3.973703164,3.989594772,,,,,,,
1310,370.267,3.993426208,3.945877088,3.898615892,3.977282854,3.993426208,,,,,,,
1320,372.704,3.997228508,3.947060828,3.900282127,3.980833085,3.997228508,,,,,,,
1325,373.922,3.999118869,3.947610456,3.901101316,3.982597294,3.999118869,,,,,,,
1330,375.139,4.001002111,3.948131776,3.901911309,3.984354305,4.001002111,,,,,,,
1340,377.572,4.004747446,3.949089035,3.903503967,3.987846953,4.004747446,,,,,,,
